HV,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
695,0.047145046,1.930074036,-0.003828326,3.003080835,1.07608115,-0.011466957,49.87516932,4992.504449,-5.159124994,0.067954646,0.174882161,8.732267732,10.23445685,4.083506494,20,1,1,18,78.56831169,0.388395621,16.11685002,-0.078326167
775,0.054798662,1.227658464,-0.005699256,3.84,1.075476349,-0.011075737,44.14747444,4414.747444,-3.688354927,0.079899115,0.2024,9.8,13.76,3.91,20,1,1,18,65.564,0.529466228,18.812,-0.110527331
185,0.030114618,174.6019048,0.002802699,1.566020653,1.076574786,-0.01443473,56.04943718,5616.153606,-15.91673383,0.064634244,0.174487343,9.038922156,0.142314174,4.097335329,29,2,1,26,75.98464072,0.332165413,13.45568656,-0.056450518
273,0.041471749,6.775136458,-0.007391284,2.393138983,1.076318738,-0.014871359,53.54088965,5343.380787,-8.64661201,0.072589689,0.195198493,9.380761523,3.629254501,4.036292585,29,2,1,26,71.72190381,0.388009441,15.12832358,-0.075373684
475,0.047367445,3.814253058,-0.004582808,2.941338382,1.076107959,-0.014853424,51.45991454,5151.137446,-6.620132086,0.077542151,0.207252009,9.664335664,6.219083614,3.985654346,29,2,1,26,68.18573427,0.430299245,16.10963542,-0.087327127
558,0.050946612,2.80166074,-0.012789267,3.319113,1.075924329,-0.014642275,49.63512089,4963.512089,-5.641283838,0.080846879,0.21399525,9.913,8.08794,3.94125,29,2,1,26,65.08489,0.465026826,16.66699083,-0.095592273
510,0.049031644,3.303746803,-0.008042151,3.112426036,1.076030362,-0.014784232,50.69015429,5074.084445,-6.149585665,0.079048308,0.210532544,9.769230769,7.053254438,3.966923077,29,2,1,26,66.87769231,0.445197644,16.37928994,-0.091041195
603,0.053080468,2.304538021,0.000455248,3.563233,1.075770116,-0.014345873,48.09406087,4809.406087,-5.091637745,0.082944189,0.21690525,10.123,9.37354,3.90375,29,2,1,26,62.46619,0.492816431,16.91706003,-0.101241617
625,0.053695897,2.164117753,-0.000900608,3.636787603,1.075712743,-0.01421001,47.51871121,4742.367379,-4.928470772,0.083570224,0.217337952,10.20140281,9.784808093,3.889749499,29,2,1,26,61.48850701,0.502838395,16.95862969,-0.103077306
655,0.054394352,1.998552844,-0.002761771,3.722385048,1.075633958,-0.014001774,46.72685217,4668.012532,-4.732334678,0.084294198,0.217352247,10.30930931,10.28975322,3.87048048,29,2,1,26,60.14291291,0.516312468,16.96979334,-0.105381335
735,0.054738824,1.910536967,-0.003892012,3.765625,1.075586097,-0.013863279,46.24478885,4624.478885,-4.626739301,0.084657127,0.21703125,10.375,10.5625,3.85875,29,2,1,26,59.32375,0.524329437,16.95046875,-0.106663946
118,0.023745939,4.48662401,0.003464283,1.292224,1.076657673,-0.012190368,55.66167451,5566.167451,-21.6191252,0.047917868,0.126392,8.364,5.024448,4.2806,28,1,1,26,85.96252,0.224134028,9.16759728,-0.027300269
127,0.036081464,2.823801657,-0.004714509,2.026621216,1.076447326,-0.013011994,53.69017695,5363.648678,-9.994833169,0.060741437,0.157721626,8.682682683,8.231130029,4.219379379,28,1,1,26,81.8812012,0.291925895,11.75130512,-0.048262345
338,0.042752341,2.180366678,0.003257871,2.56152439,1.076267391,-0.013307837,51.99287541,5204.486829,-7.280943794,0.068956999,0.179961437,8.957042957,10.5717619,4.166673327,28,1,1,26,78.36751249,0.341679666,13.59559787,-0.062687816
382,0.04443001,2.038370855,0.000728821,2.712333956,1.076210555,-0.013351596,51.45465216,5140.319751,-6.763638244,0.071174208,0.186099373,9.044044044,11.23282241,4.14995996,28,1,1,26,77.2533033,0.356384901,14.10699396,-0.066697916
527,0.045824838,1.924800582,-0.001597145,2.842944,1.076158416,-0.013374077,50.96001288,5096.001288,-6.368863386,0.073071165,0.191352,9.124,11.805888,4.1346,28,1,1,26,76.22932,0.369535066,14.54579568,-0.070170722
479,0.049094868,1.669646124,-0.008132333,3.168573979,1.076012594,-0.013356438,49.57210496,4952.253286,-5.541386421,0.077746446,0.204104645,9.348348348,13.23759796,4.091501502,28,1,1,26,73.35612613,0.404842909,15.61755485,-0.079015771
482,0.052858918,1.374431812,0.000764224,3.580210521,1.075769061,-0.013096867,47.2391989,4714.472051,-4.687387764,0.083732689,0.218943378,9.725450902,15.05857406,4.019058116,28,1,1,26,68.52663327,0.459943437,16.88924422,-0.09156537
166,0.043109466,3.917358343,0.004186288,2.081632653,1.076501112,-0.012263784,54.55221766,5460.676987,-6.59901663,0.073505717,0.18244898,9.857142857,4.979591837,4.11,23,1,1,21,65.36428571,0.296790175,9.336326531,-0.04948906
536,0.048336766,3.851175659,-0.003733747,2.64,1.076279891,-0.013380867,52.79982672,5279.982672,-5.727024844,0.080904263,0.212,10.2,5.28,3.998,23,1,1,21,60.942,0.351332743,11.292,-0.062569016
531,0.050751464,3.744236205,-0.008999606,2.924544,1.076133667,-0.012573561,51.63448675,5163.448675,-4.881588228,0.083222538,0.2179128,10.428,4.944688,3.92352,23,1,1,21,58.00118,0.38217659,12.0297814,-0.070693317
545,0.049837988,3.818947408,-0.00681329,2.814814815,1.076194294,-0.013145213,52.11834136,5206.622301,-5.292326536,0.082503569,0.216790123,10.33333333,5.135802469,3.954444444,23,1,1,21,59.22222222,0.369862055,11.77802469,-0.06725747
366,0.046904017,3.864532965,-0.001213925,2.479338843,1.076350105,-0.013253902,53.35740565,5341.076306,-6.024536917,0.079078617,0.205289256,10.09090909,5.289256198,4.033636364,23,1,1,21,62.34909091,0.335110107,10.78,-0.058666428
