formula,HV
Al25Co25Cr0Cu0Fe25Ni25,430
Al20Co20Cr20Cu0Fe20Ni20,516
Al43Co6Cr33Cu6Fe6Ni6,764
Al42.9Co14.3Cr7.1Cu7.1Fe7.1Ni21.4,591
Al42.9Co21.4Cr7.1Cu7.1Fe7.1Ni14.3,701
Al40Co13.3Cr6.7Cu13.3Fe20Ni6.7,768
Al46.2Co15.4Cr7.7Cu7.7Fe15.4Ni7.7,702
Al42.9Co14.3Cr14.3Cu7.1Fe7.1Ni14.3,720
Al42.9Co7.1Cr14.3Cu7.1Fe14.3Ni14.3,694
Al7Co0Cr23.3Cu0Fe23.3Ni46.5,149
Al11.1Co0Cr22.2Cu0Fe22.2Ni44.4,229
Al13Co0Cr28Cu22Fe6Ni31,459
Al12Co0Cr31Cu21Fe5Ni31,469
Al12Co0Cr31Cu20Fe5Ni32,483
Al10Co0Cr35Cu25Fe5Ni25,472
Al10Co0Cr35Cu26Fe5Ni24,454
Al10Co0Cr35Cu24Fe5Ni26,441
Al11Co0Cr29Cu29Fe5Ni26,495
Al11Co0Cr28Cu29Fe7Ni25,477
Al11Co0Cr28Cu27Fe6Ni28,469
Al34Co17Cr34Cu0Fe5Ni10,699
Al47Co14Cr15Cu5Fe13Ni6,728
Al38Co11Cr6Cu9Fe31Ni5,604
Al36Co10Cr31Cu6Fe9Ni8,790
Al43Co17Cr15Cu0Fe14Ni11,806
Al47Co12Cr12Cu5Fe13Ni11,811
Al43Co19Cr19Cu0Fe11Ni8,855
Al39Co10Cr31Cu5Fe8Ni7,802
Al47Co13Cr13Cu5Fe12Ni10,799
Al43Co20Cr22Cu0Fe8Ni7,857
Al47Co14Cr19Cu5Fe10Ni5,855
Al43Co20Cr19Cu0Fe9Ni9,816
Al46Co14Cr23Cu5Fe7Ni5,811
Al44Co14Cr22Cu5Fe9Ni6,790
Al43Co19Cr24Cu0Fe8Ni6,855
Al43Co18Cr24Cu0Fe10Ni5,856
Al47Co14Cr20Cu5Fe9Ni5,859
Al43Co24Cr22Cu0Fe5Ni6,875
Al43Co24Cr23Cu0Fe5Ni5,868
Al47Co12Cr20Cu5Fe11Ni5,843
Al43Co15Cr17Cu5Fe14Ni6,794
Al42Co10Cr30Cu5Fe7Ni6,783
Al47Co11Cr22Cu5Fe10Ni5,797
Al47Co13Cr20Cu5Fe10Ni5,805
Al29Co22Cr34Cu0Fe5Ni10,699
Al47Co7Cr16Cu9Fe16Ni5,749
Al43Co14Cr21Cu5Fe12Ni5,828
Al47Co18Cr15Cu5Fe10Ni5,849
Al47Co20Cr18Cu5Fe5Ni5,883
Al43Co18Cr20Cu0Fe12Ni7,864
Al47Co17Cr16Cu5Fe10Ni5,841
Al43Co24Cr23Cu0Fe5Ni5,868
Al43Co22Cr22Cu0Fe8Ni5,882
Al43Co22Cr23Cu0Fe7Ni5,883
Al43Co20Cr21Cu0Fe9Ni7,828
Al43Co22Cr25Cu0Fe5Ni5,848
Al47Co19Cr19Cu5Fe5Ni5,878
Al43Co29Cr18Cu0Fe5Ni5,782
Al43Co25Cr22Cu0Fe5Ni5,865
Al44.5Co22Cr19.5Cu2.5Fe6.5Ni5,851.5
Al7Co23.3Cr23.3Cu0Fe23.3Ni23.3,117
Al13Co21.7Cr21.7Cu0Fe21.7Ni21.7,228
Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ni16.7,458
Al33.3Co16.7Cr16.7Cu0Fe16.7Ni16.7,581.7
Al22.2Co22.2Cr0Cu22.2Fe22.2Ni11.1,430.9
Al20.8Co20.8Cr0Cu20.8Fe20.8Ni16.7,420
Al18.2Co18.2Cr0Cu18.2Fe18.2Ni27.3,323.8
Al16.7Co16.7Cr0Cu16.7Fe16.7Ni33.3,299.2
Al14.3Co14.3Cr0Cu14.3Fe14.3Ni42.9,279.6
Al18Co30Cr10Cu0Fe10Ni32,305.4
Co22.2Cr22.2Fe22.2Ni22.2Mo11.1,220
Al10Co20Cr20Fe20Ni20Mo10,440
Al20Co10Cr20Fe20Ni20Mo10,801
Al20Co20Cr20Fe10Ni20Mo10,755
Al19.6Co19.6Cr19.6Fe11.8Ni19.6Mo9.8,754
Al20Co20Cr20Fe20Ni10Mo10,708
Al16.7Co16.7Cr16.7Fe16.7Ni25Mo8.3,586
Al15.4Co15.4Cr15.4Fe15.4Ni30.8Mo7.7,395
Al16.7Co25Cr16.7Fe16.7Ni16.7Mo8.3,741
Al15.4Co30.8Cr15.4Fe15.4Ni15.4Mo7.7,586
Al16.7Co16.7Cr16.7Fe25Ni16.7Mo8.3,635
Al15.4Co15.4Cr15.4Fe30.8Ni15.4Mo7.7,639
Al25Co16.7Cr16.7Fe16.7Ni16.7Mo8.3,665
Al30.8Co15.4Cr15.4Fe15.4Ni15.4Mo7.7,615
Co19Cr19Fe19Ni19Mn19V4.8,151
Co18.2Cr18.2Fe18.2Ni18.2Mn18.2V9.1,186
Co17.4Cr17.4Fe17.4Ni17.4Mn17.4V13,342
Co16.7Cr16.7Fe16.7Ni16.7Mn16.7V16.7,650
Al2Co19.6Cr19.6Fe19.6Ni19.6Mn19.6,180
Al3.8Co19.2Cr19.2Fe19.2Ni19.2Mn19.2,171
Al7.1Co18.6Cr18.6Fe18.6Ni18.6Mn18.6,182
Al7.9Co18.4Cr18.4Fe18.4Ni18.4Mn18.4,183
Al8.9Co18.2Cr18.2Fe18.2Ni18.2Mn18.2,220
Al10.1Co18Cr18Fe18Ni18Mn18,278
Al11Co17.8Cr17.8Fe17.8Ni17.8Mn17.8,405
Al12Co17.6Cr17.6Fe17.6Ni17.6Mn17.6,486
Al13Co17.4Cr17.4Fe17.4Ni17.4Mn17.4,530
Al13.9Co17.2Cr17.2Fe17.2Ni17.2Mn17.2,539
Al15Co17Cr17Fe17Ni17Mn17,533
Al16Co16.8Cr16.8Fe16.8Ni16.8Mn16.8,535
Al20Co16Cr16Fe16Ni16Mn16,539
Al11.1Cr22.2Fe33.3Ni11.1Mn22.2,396
Al7Cr23.3Fe34.9Ni11.6Mn23.3,297
Al22.2Co22.2Cr22.2Fe22.2Mo11.1,857
Al23.8Cr23.8Fe23.8Ni23.8Mo4.8,549
Al22.2Cr22.2Fe22.2Ni22.2Mo11.1,622
Al20.8Cr20.8Fe20.8Ni20.8Mo16.7,854
Al20Cr20Fe20Ni20Mo20,905
Co25Cr25Cu25Fe25,134
Al7Co23.3Cr23.3Cu23.3Fe23.3,180
Al11.1Co22.2Cr22.2Cu22.2Fe22.2,207
Al16.7Co20.8Cr20.8Cu20.8Fe20.8,271
Al24.5Co18.9Cr18.9Cu18.9Fe18.9,476
Al27.3Co18.2Cr18.2Cu18.2Fe18.2,510
Al31Co17.2Cr17.2Cu17.2Fe17.2,557
Al33.3Co16.7Cr16.7Cu16.7Fe16.7,567
Al36.5Co15.9Cr15.9Cu15.9Fe15.9,603
Al38.5Co15.4Cr15.4Cu15.4Fe15.4,624
Al41.2Co14.7Cr14.7Cu14.7Fe14.7,657
Al42.9Co14.3Cr14.3Cu14.3Fe14.3,644
Co22.2Cr22.2Cu11.1Fe22.2Ni22.2,172
Al8.8Co17.5Cr17.5Cu17.5Fe17.5Ni17.5Ti3.5,272
Al8.5Co16.9Cr16.9Cu16.9Fe16.9Ni16.9Ti6.8,321
Al8.2Co16.4Cr16.4Cu16.4Fe16.4Ni16.4Ti9.8,458
Al7.9Co15.9Cr15.9Cu15.9Fe15.9Ni15.9Ti12.7,590
Al7.7Co15.4Cr15.4Cu15.4Fe15.4Ni15.4Ti15.4,636
Al7.5Co14.9Cr14.9Cu14.9Fe14.9Ni14.9Ti17.9,646
Al7.2Co14.5Cr14.5Cu14.5Fe14.5Ni14.5Ti20.3,664
Al7Co14.1Cr14.1Cu14.1Fe14.1Ni14.1Ti22.5,657
Al6.8Co13.7Cr13.7Cu13.7Fe13.7Ni13.7Ti24.7,667
Al6.7Co13.3Cr13.3Cu13.3Fe13.3Ni13.3Ti26.7,696
Al8.8Co17.5Cr17.5Cu17.5Fe17.5Ni17.5V3.5,204
Al8.5Co16.9Cr16.9Cu16.9Fe16.9Ni16.9V6.8,231
Al8.2Co16.4Cr16.4Cu16.4Fe16.4Ni16.4V9.8,328
Al7.9Co15.9Cr15.9Cu15.9Fe15.9Ni15.9V12.7,447
Al7.7Co15.4Cr15.4Cu15.4Fe15.4Ni15.4V15.4,639
Al7.5Co14.9Cr14.9Cu14.9Fe14.9Ni14.9V17.9,579
Al7.2Co14.5Cr14.5Cu14.5Fe14.5Ni14.5V20.3,577
Al7Co14.1Cr14.1Cu14.1Fe14.1Ni14.1V22.5,594
Al6.8Co13.7Cr13.7Cu13.7Fe13.7Ni13.7V24.7,597
Al6.7Co13.3Cr13.3Cu13.3Fe13.3Ni13.3V26.7,587
Co20Cu20Fe20Ni20Mn20,208
Cr20Cu20Fe20Ni20Mn20,296
Cr20Cu20Fe20Ni20Mo20,263
Al18.2Co9.1Cr18.2Cu18.2Fe18.2Ni18.2,473
Al18.2Co18.2Cr9.1Cu18.2Fe18.2Ni18.2,367
Al18.2Co18.2Cr18.2Cu18.2Fe9.1Ni18.2,418
Al18.2Co18.2Cr18.2Cu18.2Fe18.2Ni9.1,423
Al5.3Co21.1Cr21.1Fe26.3Ni26.3,168
Al12.5Co12.5Cr12.5Fe12.5Ni50,225
Cr25Cu25Fe25Ni25,143
Co5Cr23.8Cu23.8Fe23.8Ni23.8,146
Co10Cr22.5Cu22.5Fe22.5Ni22.5,150
Co15Cr21.3Cu21.3Fe21.3Ni21.3,158
Co33.3Cr16.7Cu16.7Fe16.7Ni16.7,175
